BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
Brokered by Gateway Arms Realty Corp.,House for sale,879000,4,2.0,1238.0,"Staten Island, NY 10309","48 Princewood AveStaten Island, NY 10309",United States,New York,Richmond County
,House for sale,918888,3,2.0,2184.207862,"East Elmhurst, NY 11369","30-36 88th StEast Elmhurst, NY 11369",United States,New York,Queens County
,Townhouse for sale,2400000,4,2.0,1892.0,"Brooklyn, NY 11215","396 A 9th St Unit 2Brooklyn, NY 11215",,New York,Kings County
Brokered by Jamie & Connie Real Estate Grp,House for sale,1730000,6,2.3738608579684373,3024.0,"Little Neck, NY 11362","45-12 244th StLittle Neck, NY 11362",,New York,Queens County
,Multi-family home for sale,425000,5,2.0,2184.207862,"Bronx, NY 10474","755 Coster StBronx, NY 10474",United States,New York,Bronx County
,House for sale,2500000,5,2.3738608579684373,1450.0,"Flushing, NY 11354","33-02 Parsons BlvdFlushing, NY 11354",,New York,Queens County
Brokered by RE MAX Elite,House for sale,998000,4,4.0,2000.0,"Staten Island, NY 10307","336 Bethel AveStaten Island, NY 10307",United States,New York,Richmond County
,House for sale,1195000,4,4.0,2688.0,"Staten Island, NY 10301","222 Hart BlvdStaten Island, NY 10301",,New York,Richmond County
,House for sale,1649000,3,2.0,2052.0,"Brooklyn, NY 11228","1217 84th StBrooklyn, NY 11228",,New York,Kings County
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,0,4,4.0,2100.0,"Staten Island, NY 10312","82 Vineland AveStaten Island, NY 10312",United States,New York,Richmond County
Brokered by LJ Realty Team Inc,Multi-family home for sale,949000,6,3.0,2184.207862,"Jamaica, NY 11436","117-37 141st StJamaica, NY 11436",,New York,Queens County
